,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
0,KNeighbors_Classifier,cross_val_score,0.8545454545454545,0.903937332508761,0.02567553023580111,None,df_train
1,Decision_Tree,cross_val_score,0.9272727272727272,0.9352813852813853,0.01875915750864438,None,df_train
2,Random_Forest,cross_val_score,0.9363636363636364,0.9494434137291279,0.01690292985214136,None,df_train
3,AdaBoost_Classifier,cross_val_score,0.9454545454545454,0.945403009688724,0.020293109402671372,None,df_train
4,SVC_Classifier,cross_val_score,0.8272727272727273,0.8331478045763759,0.031146736580977098,None,df_train
5,SGD_Classifier,cross_val_score,0.8636363636363636,0.8733147804576374,0.1075890098011161,None,df_train
6,Ridge_Classification,cross_val_score,0.9272727272727272,0.9221397649969079,0.02024111799775348,None,df_train
7,Logistic_Regression,cross_val_score,0.9454545454545454,0.9443722943722943,0.026861637556130538,None,df_train
8,LinearSVC,cross_val_score,0.8454545454545455,0.9140795712224283,0.07746870580431539,None,df_train
9,GradientBoosting_Classification,cross_val_score,0.9363636363636364,0.9494227994227995,0.021732507181771846,None,df_train
10,XGBoost_Classification,cross_val_score,0.9363636363636364,0.9484333127190272,0.02451283085581457,None,df_train
11,LightGBM_Classification,cross_val_score,0.9363636363636364,0.952473716759431,0.024769718928683078,None,df_train
0,KNeighbors_Classifier,kfold,0.9636363636363636,0.8962385321100917,0.035606651540827206,None,df_train
1,Decision_Tree,kfold,0.9636363636363636,0.9235529608006672,0.03024707527717456,None,df_train
2,Random_Forest,kfold,0.990909090909091,0.9453961634695579,0.019944582763690738,None,df_train
3,AdaBoost_Classifier,kfold,0.990909090909091,0.9389991659716431,0.030284744516690033,None,df_train
4,SVC_Classifier,kfold,0.8909090909090909,0.8380316930775645,0.02661177866887672,None,df_train
5,SGD_Classifier,kfold,0.9454545454545454,0.8417514595496247,0.07557083216476036,None,df_train
6,Ridge_Classification,kfold,0.9545454545454546,0.9217264386989157,0.021299433423739855,None,df_train
7,Logistic_Regression,kfold,0.9727272727272728,0.9453961634695579,0.0167953535919571,None,df_train
8,LinearSVC,kfold,0.9818181818181818,0.9163052543786488,0.05628448570068255,None,df_train
9,GradientBoosting_Classification,kfold,0.990909090909091,0.9535779816513763,0.022480064355738957,None,df_train
10,XGBoost_Classification,kfold,0.990909090909091,0.9481067556296916,0.029126553443563404,None,df_train
11,LightGBM_Classification,kfold,0.990909090909091,0.9508340283569641,0.022453005331797136,None,df_train
0,KNeighbors_Classifier,repeatedkfold,0.9818181818181818,0.897720600500417,0.03137972269795555,None,df_train
1,Decision_Tree,repeatedkfold,0.9818181818181818,0.9273811509591325,0.02486263152751491,None,df_train
2,Random_Forest,repeatedkfold,0.9818181818181818,0.9486722268557132,0.019388008317442123,None,df_train
3,AdaBoost_Classifier,repeatedkfold,1.0,0.9461226021684739,0.021243530680968965,None,df_train
4,SVC_Classifier,repeatedkfold,0.9,0.8331234361968307,0.03438944255578457,None,df_train
5,SGD_Classifier,repeatedkfold,0.9727272727272728,0.8816997497914929,0.08706685563805235,None,df_train
6,Ridge_Classification,repeatedkfold,0.9636363636363636,0.9213811509591326,0.023922319270821214,None,df_train
7,Logistic_Regression,repeatedkfold,0.990909090909091,0.9448448707256049,0.01989028307299504,None,df_train
8,LinearSVC,repeatedkfold,0.990909090909091,0.9341075896580483,0.04110542306135532,None,df_train
9,GradientBoosting_Classification,repeatedkfold,0.990909090909091,0.951951626355296,0.01944254269899765,None,df_train
10,XGBoost_Classification,repeatedkfold,0.990909090909091,0.9488523769808174,0.020242277570257684,None,df_train
11,LightGBM_Classification,repeatedkfold,0.990909090909091,0.9503986655546289,0.02030501971475099,None,df_train
0,KNeighbors_Classifier,stratifiedkfold,0.9272727272727272,0.9017097581317766,0.01821305784295718,None,df_train
1,Decision_Tree,stratifiedkfold,0.9545454545454546,0.9262802335279398,0.021752970533948455,None,df_train
2,Random_Forest,stratifiedkfold,0.9727272727272728,0.9508507089241036,0.012401418339280261,None,df_train
3,AdaBoost_Classifier,stratifiedkfold,0.9727272727272728,0.9472143452877398,0.013409580961503539,None,df_train
4,SVC_Classifier,stratifiedkfold,0.8909090909090909,0.8362385321100918,0.0268438022374972,None,df_train
5,SGD_Classifier,stratifiedkfold,0.9545454545454546,0.8714678899082567,0.10206684499628288,None,df_train
6,Ridge_Classification,stratifiedkfold,0.9636363636363636,0.9208423686405338,0.02787251019650738,None,df_train
7,Logistic_Regression,stratifiedkfold,0.9636363636363636,0.9389991659716429,0.017001958030987696,None,df_train
8,LinearSVC,stratifiedkfold,0.9727272727272728,0.9462885738115097,0.015592449553543459,None,df_train
9,GradientBoosting_Classification,stratifiedkfold,0.9818181818181818,0.9581234361968308,0.014857996897768034,None,df_train
10,XGBoost_Classification,stratifiedkfold,0.9636363636363636,0.9499416180150126,0.011746767573395666,None,df_train
11,LightGBM_Classification,stratifiedkfold,0.9636363636363636,0.9508423686405338,0.012460350157884442,None,df_train
0,KNeighbors_Classifier,shufflesplit,0.92,0.8967272727272728,0.012617710234834524,None,df_train
1,Decision_Tree,shufflesplit,0.9418181818181818,0.925090909090909,0.011636363636363653,None,df_train
2,Random_Forest,shufflesplit,0.9636363636363636,0.9563636363636363,0.007627700713964739,None,df_train
3,AdaBoost_Classifier,shufflesplit,0.9709090909090909,0.9556363636363635,0.010259444348847917,None,df_train
4,SVC_Classifier,shufflesplit,0.8727272727272727,0.8240000000000001,0.03220594883706839,None,df_train
5,SGD_Classifier,shufflesplit,0.96,0.9130909090909091,0.04694853873398189,None,df_train
6,Ridge_Classification,shufflesplit,0.9454545454545454,0.924,0.012326146368493315,None,df_train
7,Logistic_Regression,shufflesplit,0.9636363636363636,0.9461818181818181,0.00931363525444776,None,df_train
8,LinearSVC,shufflesplit,0.96,0.9298181818181817,0.03726341347046824,None,df_train
9,GradientBoosting_Classification,shufflesplit,0.9709090909090909,0.9578181818181818,0.009228056393054185,None,df_train
10,XGBoost_Classification,shufflesplit,0.9745454545454545,0.9527272727272728,0.010024762728792868,None,df_train
11,LightGBM_Classification,shufflesplit,0.9672727272727273,0.9545454545454547,0.005691809397272193,None,df_train
0,KNeighbors_Classifier,cross_val_score,0.9545454545454546,0.9444032158317872,0.018728877268732763,None,df_train_pt
1,Decision_Tree,cross_val_score,0.9363636363636364,0.9332405689548547,0.024083741371451275,None,df_train_pt
2,Random_Forest,cross_val_score,0.9454545454545454,0.9524840239125953,0.013568614537244936,None,df_train_pt
3,AdaBoost_Classifier,cross_val_score,0.9454545454545454,0.945403009688724,0.020293109402671372,None,df_train_pt
4,SVC_Classifier,cross_val_score,0.9454545454545454,0.9494537208822923,0.017472080932242662,None,df_train_pt
5,SGD_Classifier,cross_val_score,0.9272727272727272,0.9413522984951556,0.022502335443249227,None,df_train_pt
6,Ridge_Classification,cross_val_score,0.9363636363636364,0.9433725005153576,0.020812089734972346,None,df_train_pt
7,Logistic_Regression,cross_val_score,0.9272727272727272,0.944392908678623,0.023570512249549473,None,df_train_pt
8,LinearSVC,cross_val_score,0.9363636363636364,0.943382807668522,0.02522040751149545,None,df_train_pt
9,GradientBoosting_Classification,cross_val_score,0.9363636363636364,0.9463924963924966,0.023548019520553996,None,df_train_pt
10,XGBoost_Classification,cross_val_score,0.9363636363636364,0.9484333127190272,0.02451283085581457,None,df_train_pt
11,LightGBM_Classification,cross_val_score,0.9363636363636364,0.9565141207998351,0.023072301627499032,None,df_train_pt
0,KNeighbors_Classifier,kfold,1.0,0.9444787322768974,0.027750920937637816,None,df_train_pt
1,Decision_Tree,kfold,0.9636363636363636,0.923536280233528,0.02684568215942227,None,df_train_pt
2,Random_Forest,kfold,0.9818181818181818,0.9499416180150124,0.019219560533505094,None,df_train_pt
3,AdaBoost_Classifier,kfold,0.990909090909091,0.9389991659716431,0.030284744516690033,None,df_train_pt
4,SVC_Classifier,kfold,0.990909090909091,0.9490241868223521,0.026466436199090365,None,df_train_pt
5,SGD_Classifier,kfold,0.9818181818181818,0.9271726438698916,0.0308142451384387,None,df_train_pt
6,Ridge_Classification,kfold,0.990909090909091,0.9454045037531277,0.02112589712373099,None,df_train_pt
7,Logistic_Regression,kfold,0.9727272727272728,0.9454045037531277,0.019498405750294708,None,df_train_pt
8,LinearSVC,kfold,0.9727272727272728,0.9417681401167639,0.021195409285025762,None,df_train_pt
