,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
0,XGBoost_Classification,cross_val_score,0.9363636363636364,0.9484333127190272,0.02451283085581457,None,df_train
1,LightGBM_Classification,cross_val_score,0.9454545454545454,0.9534735106163679,0.02566825514461008,None,df_train
2,GradientBoosting_Classification,cross_val_score,0.9363636363636364,0.9544939187796331,0.021794170097524903,None,df_train
3,Random_Forest,cross_val_score,0.9363636363636364,0.9433621933621934,0.032669326403083475,None,df_train
4,Voting_Classifier,cross_val_score,0.9363636363636364,0.9544939187796331,0.02179417009752487,None,df_train
0,XGBoost_Classification,kfold,0.990909090909091,0.9481067556296916,0.029126553443563404,None,df_train
1,LightGBM_Classification,kfold,0.990909090909091,0.954487072560467,0.020782341626811796,None,df_train
2,GradientBoosting_Classification,kfold,0.990909090909091,0.9508590492076732,0.022721596034517115,None,df_train
3,Random_Forest,kfold,0.9818181818181818,0.9480984153461216,0.021300014733558612,None,df_train
4,Voting_Classifier,kfold,0.990909090909091,0.955396163469558,0.022484785779842184,None,df_train
0,XGBoost_Classification,repeatedkfold,0.990909090909091,0.9488523769808174,0.020242277570257684,None,df_train
1,LightGBM_Classification,repeatedkfold,0.990909090909091,0.9514962468723936,0.01947800088582669,None,df_train
2,GradientBoosting_Classification,repeatedkfold,1.0,0.9535821517931611,0.01952693682111216,None,df_train
3,Random_Forest,repeatedkfold,0.990909090909091,0.9446663886572143,0.022554169725386704,None,df_train
4,Voting_Classifier,repeatedkfold,0.990909090909091,0.952767306088407,0.019897322341206204,None,df_train
0,XGBoost_Classification,stratifiedkfold,0.9636363636363636,0.9499416180150126,0.011746767573395666,None,df_train
1,LightGBM_Classification,stratifiedkfold,0.9727272727272728,0.950859049207673,0.014220454970883456,None,df_train
2,GradientBoosting_Classification,stratifiedkfold,0.9636363636363636,0.9563135946622184,0.007995265714303984,None,df_train
3,Random_Forest,stratifiedkfold,0.9727272727272728,0.9481234361968307,0.013566696061742153,None,df_train
4,Voting_Classifier,stratifiedkfold,0.9818181818181818,0.954487072560467,0.014731927587239329,None,df_train
0,XGBoost_Classification,shufflesplit,0.9745454545454545,0.9527272727272728,0.010024762728792868,None,df_train
1,LightGBM_Classification,shufflesplit,0.9709090909090909,0.9541818181818181,0.009083633452215864,None,df_train
2,GradientBoosting_Classification,shufflesplit,0.9672727272727273,0.9563636363636364,0.008757523330030752,None,df_train
3,Random_Forest,shufflesplit,0.9527272727272728,0.941090909090909,0.007051170701696478,None,df_train
4,Voting_Classifier,shufflesplit,0.9672727272727273,0.9567272727272726,0.008363636363636372,None,df_train
0,XGBoost_Classification,cross_val_score,0.9363636363636364,0.9484333127190272,0.02451283085581457,None,df_train_pt
1,LightGBM_Classification,cross_val_score,0.9363636363636364,0.9504638218923933,0.02611224036545755,None,df_train_pt
2,GradientBoosting_Classification,cross_val_score,0.9454545454545454,0.9524634096062667,0.01757185526974038,None,df_train_pt
3,Random_Forest,cross_val_score,0.9454545454545454,0.9484230055658628,0.022814328817379086,None,df_train_pt
4,Voting_Classifier,cross_val_score,0.9454545454545454,0.9504432075860647,0.01943967342015404,None,df_train_pt
0,XGBoost_Classification,kfold,0.990909090909091,0.9481067556296916,0.029126553443563404,None,df_train_pt
1,LightGBM_Classification,kfold,0.9818181818181818,0.9499416180150126,0.018339401731283293,None,df_train_pt
2,GradientBoosting_Classification,kfold,0.9818181818181818,0.9490492076730609,0.02445215397370808,None,df_train_pt
3,Random_Forest,kfold,0.990909090909091,0.9508423686405338,0.0248610185513881,None,df_train_pt
4,Voting_Classifier,kfold,0.990909090909091,0.9508423686405338,0.02241356205679098,None,df_train_pt
0,XGBoost_Classification,repeatedkfold,0.990909090909091,0.9488523769808174,0.020242277570257684,None,df_train_pt
1,LightGBM_Classification,repeatedkfold,0.990909090909091,0.9508548790658883,0.018887401733921092,None,df_train_pt
2,GradientBoosting_Classification,repeatedkfold,0.990909090909091,0.9532210175145954,0.019874982474015573,None,df_train_pt
3,Random_Forest,repeatedkfold,0.990909090909091,0.9447597998331944,0.0205346082812261,None,df_train_pt
4,Voting_Classifier,repeatedkfold,0.990909090909091,0.9524937447873226,0.01930134797283403,None,df_train_pt
0,XGBoost_Classification,stratifiedkfold,0.9636363636363636,0.9499416180150126,0.011746767573395666,None,df_train_pt
1,LightGBM_Classification,stratifiedkfold,0.9727272727272728,0.9490241868223521,0.015943376472534996,None,df_train_pt
2,GradientBoosting_Classification,stratifiedkfold,0.9727272727272728,0.9554128440366971,0.00949600528970358,None,df_train_pt
3,Random_Forest,stratifiedkfold,0.9727272727272728,0.9499499582985822,0.015891619735185925,None,df_train_pt
4,Voting_Classifier,stratifiedkfold,0.9727272727272728,0.954487072560467,0.010066141817837673,None,df_train_pt
0,XGBoost_Classification,shufflesplit,0.9745454545454545,0.9527272727272728,0.010024762728792868,None,df_train_pt
1,LightGBM_Classification,shufflesplit,0.9709090909090909,0.9560000000000001,0.007354090333147893,None,df_train_pt
2,GradientBoosting_Classification,shufflesplit,0.9709090909090909,0.9563636363636363,0.010663911489901954,None,df_train_pt
3,Random_Forest,shufflesplit,0.9636363636363636,0.9403636363636364,0.01105358847532412,None,df_train_pt
4,Voting_Classifier,shufflesplit,0.9709090909090909,0.9578181818181818,0.006744449814905962,None,df_train_pt
