,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
0,XGBoost_Classification,cross_val_score,0.9363636363636364,0.9484333127190272,0.02451283085581457,None,df_train
1,LightGBM_Classification,cross_val_score,0.9363636363636364,0.952473716759431,0.023063274957329755,None,df_train
2,GradientBoosting_Classification,cross_val_score,0.9363636363636364,0.952473716759431,0.019200677166711085,None,df_train
3,Random_Forest,cross_val_score,0.9454545454545454,0.9514533085961657,0.02253007883473143,None,df_train
4,Voting_Classifier,cross_val_score,0.9363636363636364,0.9524634096062667,0.02076551428916587,None,df_train
0,XGBoost_Classification,kfold,0.990909090909091,0.9481067556296916,0.029126553443563404,None,df_train
1,LightGBM_Classification,kfold,0.990909090909091,0.9544787322768974,0.023783669487512343,None,df_train
2,GradientBoosting_Classification,kfold,0.9818181818181818,0.9517597998331944,0.02341188163993891,None,df_train
3,Random_Forest,kfold,0.9818181818181818,0.9472060050041702,0.02298540389471373,None,df_train
4,Voting_Classifier,kfold,0.990909090909091,0.9499249374478733,0.024910437504830008,None,df_train
0,XGBoost_Classification,repeatedkfold,0.990909090909091,0.9488523769808174,0.020242277570257684,None,df_train
1,LightGBM_Classification,repeatedkfold,0.990909090909091,0.9514962468723936,0.020356263633851495,None,df_train
2,GradientBoosting_Classification,repeatedkfold,1.0,0.9547714762301919,0.01954160048113037,None,df_train
3,Random_Forest,repeatedkfold,0.990909090909091,0.9490341951626354,0.020458515605348886,None,df_train
4,Voting_Classifier,repeatedkfold,0.990909090909091,0.9518598832360301,0.0201652396516397,None,df_train
0,XGBoost_Classification,stratifiedkfold,0.9636363636363636,0.9499416180150126,0.011746767573395666,None,df_train
1,LightGBM_Classification,stratifiedkfold,0.9727272727272728,0.9471976647206006,0.014696538135716633,None,df_train
2,GradientBoosting_Classification,stratifiedkfold,0.9727272727272728,0.9590408673894911,0.01023196444217466,None,df_train
3,Random_Forest,stratifiedkfold,0.9727272727272728,0.9490241868223519,0.016453576479441106,None,df_train
4,Voting_Classifier,stratifiedkfold,0.9727272727272728,0.9508423686405338,0.015950983661708745,None,df_train
0,XGBoost_Classification,shufflesplit,0.9745454545454545,0.9527272727272728,0.010024762728792868,None,df_train
1,LightGBM_Classification,shufflesplit,0.9709090909090909,0.9559999999999998,0.008041216140907633,None,df_train
2,GradientBoosting_Classification,shufflesplit,0.9709090909090909,0.9567272727272726,0.007705316400151673,None,df_train
3,Random_Forest,shufflesplit,0.9636363636363636,0.953090909090909,0.008041216140907612,None,df_train
4,Voting_Classifier,shufflesplit,0.9709090909090909,0.9581818181818182,0.009655213125346746,None,df_train
0,XGBoost_Classification,cross_val_score,0.9363636363636364,0.9484333127190272,0.02451283085581457,None,df_train_pt
1,LightGBM_Classification,cross_val_score,0.9363636363636364,0.9544939187796331,0.024442224455083823,None,df_train_pt
2,GradientBoosting_Classification,cross_val_score,0.9363636363636364,0.9534735106163676,0.01983885755306895,None,df_train_pt
3,Random_Forest,cross_val_score,0.9454545454545454,0.9504535147392289,0.020924589692156256,None,df_train_pt
4,Voting_Classifier,cross_val_score,0.9363636363636364,0.9524634096062667,0.021725992398917822,None,df_train_pt
0,XGBoost_Classification,kfold,0.990909090909091,0.9481067556296916,0.029126553443563404,None,df_train_pt
1,LightGBM_Classification,kfold,0.9818181818181818,0.9499332777314429,0.0212952135532741,None,df_train_pt
2,GradientBoosting_Classification,kfold,0.9818181818181818,0.9499416180150126,0.023827266199442254,None,df_train_pt
3,Random_Forest,kfold,0.9818181818181818,0.9508340283569641,0.02132019398528555,None,df_train_pt
4,Voting_Classifier,kfold,0.990909090909091,0.9481067556296914,0.025169030224522024,None,df_train_pt
0,XGBoost_Classification,repeatedkfold,0.990909090909091,0.9488523769808174,0.020242277570257684,None,df_train_pt
1,LightGBM_Classification,repeatedkfold,1.0,0.9511267723102586,0.0197796308821482,None,df_train_pt
2,GradientBoosting_Classification,repeatedkfold,1.0,0.9535879899916597,0.019879917411730376,None,df_train_pt
3,Random_Forest,repeatedkfold,0.990909090909091,0.9483069224353627,0.020928767979755496,None,df_train_pt
4,Voting_Classifier,repeatedkfold,0.990909090909091,0.9525846538782317,0.02000753368644877,None,df_train_pt
0,XGBoost_Classification,stratifiedkfold,0.9636363636363636,0.9499416180150126,0.011746767573395666,None,df_train_pt
1,LightGBM_Classification,stratifiedkfold,0.9727272727272728,0.9526772310258549,0.012091524399132785,None,df_train_pt
2,GradientBoosting_Classification,stratifiedkfold,0.9636363636363636,0.954487072560467,0.009208598453455629,None,df_train_pt
3,Random_Forest,stratifiedkfold,0.9727272727272728,0.9508340283569643,0.014938062554846933,None,df_train_pt
4,Voting_Classifier,stratifiedkfold,0.9727272727272728,0.9535779816513761,0.01118874453108869,None,df_train_pt
0,XGBoost_Classification,shufflesplit,0.9745454545454545,0.9527272727272728,0.010024762728792868,None,df_train_pt
1,LightGBM_Classification,shufflesplit,0.9709090909090909,0.9545454545454545,0.006350636071481087,None,df_train_pt
2,GradientBoosting_Classification,shufflesplit,0.9672727272727273,0.957090909090909,0.007592950188298588,None,df_train_pt
3,Random_Forest,shufflesplit,0.9709090909090909,0.954909090909091,0.00832401683073426,None,df_train_pt
4,Voting_Classifier,shufflesplit,0.9709090909090909,0.9578181818181818,0.008000000000000007,None,df_train_pt
